f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.15 | 0.01 | [[258, 263, 283, 303, 353], [201, 206, 226, 246, 296], [158, 163, 183, 203, 253]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.1 | 0.001 | [[130, 175, 355, 535, 985], [111, 156, 336, 516, 966], [104, 149, 329, 509, 959]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.1 | 0.003 | [[131, 146, 206, 266, 416], [102, 117, 177, 237, 387], [87, 102, 162, 222, 372]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.1 | 0.005 | [[181, 196, 256, 316, 466], [135, 150, 210, 270, 420], [103, 118, 178, 238, 388]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.1 | 0.01 | [[258, 263, 283, 303, 353], [201, 206, 226, 246, 296], [158, 163, 183, 203, 253]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.07 | 0.001 | [[130, 175, 355, 535, 985], [111, 156, 336, 516, 966], [104, 149, 329, 509, 959]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.07 | 0.003 | [[131, 146, 206, 266, 416], [102, 117, 177, 237, 387], [87, 102, 162, 222, 372]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.07 | 0.005 | [[181, 196, 256, 316, 466], [135, 150, 210, 270, 420], [103, 118, 178, 238, 388]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.07 | 0.01 | [[258, 263, 283, 303, 353], [201, 206, 226, 246, 296], [158, 163, 183, 203, 253]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.05 | 0.001 | [[130, 175, 355, 535, 985], [111, 156, 336, 516, 966], [104, 149, 329, 509, 959]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.05 | 0.003 | [[131, 146, 206, 266, 416], [102, 117, 177, 237, 387], [87, 102, 162, 222, 372]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.05 | 0.005 | [[181, 196, 256, 316, 466], [135, 150, 210, 270, 420], [103, 118, 178, 238, 388]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.9 | 0.05 | 0.01 | [[258, 263, 283, 303, 353], [201, 206, 226, 246, 296], [158, 163, 183, 203, 253]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.2 | 0.001 | [[601, 636, 776, 916, 1266], [542, 572, 692, 812, 1112], [495, 520, 620, 720, 970]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.2 | 0.003 | [[609, 624, 684, 744, 894], [544, 559, 619, 679, 829], [490, 500, 540, 580, 680]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.2 | 0.005 | [[661, 676, 736, 796, 946], [577, 592, 652, 712, 862], [504, 514, 554, 594, 694]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.2 | 0.01 | [[708, 713, 733, 753, 803], [619, 624, 644, 664, 714], [546, 551, 571, 591, 641]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.15 | 0.001 | [[545, 580, 720, 860, 1210], [486, 516, 636, 756, 1056], [440, 465, 565, 665, 915]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.15 | 0.003 | [[553, 568, 628, 688, 838], [488, 503, 563, 623, 773], [435, 445, 485, 525, 625]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.15 | 0.005 | [[605, 620, 680, 740, 890], [521, 536, 596, 656, 806], [449, 459, 499, 539, 639]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.15 | 0.01 | [[652, 657, 677, 697, 747], [563, 568, 588, 608, 658], [491, 496, 516, 536, 586]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.1 | 0.001 | [[467, 502, 642, 782, 1132], [408, 438, 558, 678, 978], [363, 388, 488, 588, 838]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.1 | 0.003 | [[475, 490, 550, 610, 760], [410, 425, 485, 545, 695], [358, 368, 408, 448, 548]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.1 | 0.005 | [[527, 542, 602, 662, 812], [443, 458, 518, 578, 728], [372, 382, 422, 462, 562]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.1 | 0.01 | [[574, 579, 599, 619, 669], [485, 490, 510, 530, 580], [414, 419, 439, 459, 509]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.07 | 0.001 | [[387, 422, 562, 702, 1052], [331, 361, 481, 601, 901], [287, 312, 412, 512, 762]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.07 | 0.003 | [[395, 410, 470, 530, 680], [333, 348, 408, 468, 618], [282, 292, 332, 372, 472]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.07 | 0.005 | [[447, 462, 522, 582, 732], [366, 381, 441, 501, 651], [296, 306, 346, 386, 486]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.07 | 0.01 | [[494, 499, 519, 539, 589], [408, 413, 433, 453, 503], [338, 343, 363, 383, 433]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.05 | 0.001 | [[315, 350, 490, 630, 980], [261, 291, 411, 531, 831], [220, 245, 345, 445, 695]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.05 | 0.003 | [[323, 338, 398, 458, 608], [263, 278, 338, 398, 548], [215, 225, 265, 305, 405]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.05 | 0.005 | [[375, 390, 450, 510, 660], [296, 311, 371, 431, 581], [229, 239, 279, 319, 419]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.4 | 0.05 | 0.01 | [[422, 427, 447, 467, 517], [338, 343, 363, 383, 433], [271, 276, 296, 316, 366]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.2 | 0.001 | [[433, 473, 633, 793, 1193], [389, 424, 564, 704, 1054], [360, 395, 535, 675, 1025]] | 
f0003 | 10 | lof | 30days | 15 | False | 0.5 | 0.2 | 0.003 | [[439, 454, 514, 574, 724], [389, 404, 464, 524, 674], [353, 368, 428, 488, 638]] | 
