vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.15 | 0.005 | [[995, 1044, 1289, 1779], [961, 1004, 1219, 1649], [927, 964, 1149, 1519]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.15 | 0.01 | [[1021, 1068, 1303, 1773], [984, 1024, 1224, 1624], [950, 984, 1154, 1494]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.1 | 0.001 | [[849, 924, 1299, 2049], [774, 832, 1122, 1702], [737, 788, 1043, 1553]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.1 | 0.003 | [[849, 924, 1299, 2049], [774, 832, 1122, 1702], [737, 788, 1043, 1553]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.1 | 0.005 | [[832, 893, 1198, 1808], [793, 846, 1111, 1641], [759, 806, 1041, 1511]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.1 | 0.01 | [[858, 917, 1212, 1802], [816, 866, 1116, 1616], [782, 826, 1046, 1486]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.07 | 0.001 | [[811, 898, 1333, 2203], [736, 806, 1156, 1856], [697, 759, 1069, 1689]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.07 | 0.003 | [[811, 898, 1333, 2203], [736, 806, 1156, 1856], [697, 759, 1069, 1689]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.07 | 0.005 | [[794, 867, 1232, 1962], [755, 820, 1145, 1795], [719, 777, 1067, 1647]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.07 | 0.01 | [[820, 891, 1246, 1956], [775, 836, 1141, 1751], [739, 793, 1063, 1603]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.05 | 0.001 | [[767, 860, 1325, 2255], [694, 770, 1150, 1910], [652, 718, 1048, 1708]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.05 | 0.003 | [[767, 860, 1325, 2255], [694, 770, 1150, 1910], [652, 718, 1048, 1708]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.05 | 0.005 | [[750, 829, 1224, 2014], [713, 784, 1139, 1849], [674, 736, 1046, 1666]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.5 | 0.05 | 0.01 | [[776, 853, 1238, 2008], [733, 800, 1135, 1805], [694, 752, 1042, 1622]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.6 | 0.2 | 0.001 | [[1184, 1276, 1736, 2656], [1116, 1193, 1578, 2348], [1095, 1169, 1539, 2279]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.6 | 0.2 | 0.003 | [[1184, 1276, 1736, 2656], [1116, 1193, 1578, 2348], [1095, 1169, 1539, 2279]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.6 | 0.2 | 0.005 | [[1174, 1252, 1642, 2422], [1142, 1214, 1574, 2294], [1104, 1169, 1494, 2144]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.6 | 0.2 | 0.01 | [[1184, 1255, 1610, 2320], [1143, 1205, 1515, 2135], [1105, 1160, 1435, 1985]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.6 | 0.15 | 0.001 | [[1032, 1125, 1590, 2520], [961, 1038, 1423, 2193], [943, 1017, 1387, 2127]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.6 | 0.15 | 0.003 | [[1032, 1125, 1590, 2520], [961, 1038, 1423, 2193], [943, 1017, 1387, 2127]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.6 | 0.15 | 0.005 | [[1022, 1101, 1496, 2286], [987, 1059, 1419, 2139], [952, 1017, 1342, 1992]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.6 | 0.15 | 0.01 | [[1032, 1104, 1464, 2184], [988, 1050, 1360, 1980], [953, 1008, 1283, 1833]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.6 | 0.1 | 0.001 | [[852, 946, 1416, 2356], [779, 856, 1241, 2011], [761, 835, 1205, 1945]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.6 | 0.1 | 0.003 | [[852, 946, 1416, 2356], [779, 856, 1241, 2011], [761, 835, 1205, 1945]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.6 | 0.1 | 0.005 | [[842, 922, 1322, 2122], [805, 877, 1237, 1957], [770, 835, 1160, 1810]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.6 | 0.1 | 0.01 | [[852, 925, 1290, 2020], [806, 868, 1178, 1798], [771, 826, 1101, 1651]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.6 | 0.07 | 0.001 | [[783, 877, 1347, 2287], [710, 787, 1172, 1942], [693, 767, 1137, 1877]] | 
vehicles | 20 | knn | 15days | 15 | False | 0.6 | 0.07 | 0.003 | [[783, 877, 1347, 2287], [710, 787, 1172, 1942], [693, 767, 1137, 1877]] | 
